ITEMDESC,Brand,Company,Packtype,Packsize,Matched_ITEMDESC,Matched_BRAND,Matched_MANUFACTURE,Matched_PACKTYPE,Matched_PACKSIZE,Reason,Suggestion,Score
"AYUSH/140(110G+30G)/GM/CDB/TOTAL ORAL CARE CAVITY PROTECTION, HEALTHY GUMS & REDUCES PLAQUE WITH CLOVE OIL & DASANAKANTHI CHOORNAM/SAVE RS.50/=",LEVER AYUSH,UNILEVER SRI LANKA LTD,CDB,140GM(110G?30G),,LEVER AYUSH,UNILEVER LIPTON CEYLON LTD,CDBOX,,| Target Packsize or UOM not found| Target Itemdesc not found,,
PELWATTE/200/GM/PLPCH/FULL CREAM ,PELWATTE,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PLPCH ,200GM,,PELWATTE,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
VOLIN/80/GM/CDB/WHITE BEAUTY WITH NATURAL MOISTURIZER/SAVE RS.35/=,VOLIN ,GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),CDB,80GM ,,,GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
MAYA/325/ML/PBT/SOY SAUCE ,MAYA,JANRICH FOODS LTD,PBT,325ML,,MAYA,JANRICH FOODS LTD,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
CHERISH KIT-O/310/GM/PLPCH/STRAWBERRY CREAM ,CHERISH KIT-O,CHERISH BISCUIT (PVT) LTD,PLPCH ,310GM,,CHERISH SHORTCAKE,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
PRABODHI/60/GM/PLPCH/CUTTLEFISH FLAVOUR ,PRABODHI,PRABODHI FOOD PRODUCTS,PLPCH ,60GM ,,PRABODHI,PRABODHI FOOD PRODUCTS,PLPCH,60GM,| Target Itemdesc not found,PRABODHI CHICKEN FLAVOUR 60 GM,0.8903955989740013
MAGGI/75/GM/PLPCH/PAPARE BLAST,MAGGI HOT,NESTLE LANKA,PLPCH ,75GM ,,MAGGI HOT,NESTLE LANKA,PLPCH,75GM,| Target Itemdesc not found,MAGGI PAPARE KOTTU 75 GM PLPCH,0.9142391446039151
KHOMBA/350(70G?5)/GM/CDB/ORIGINAL HERBAL CARE 5 IN 1 VALUE PACK/SAVE RS.50/=/FREE/KHOMBA/70/GM/CDB/CLEAR WITH LIME & CUCUMBER HERBAL BAR,KHOMBA,SWADESHI INDUSTRIAL WORKS LTD,CDB,350GM(70G?5),,KHOMBA,SWADESHI INDUSTRIAL WORKS LTD,CDBOX,,| Target Packsize or UOM not found| Target Itemdesc not found,,
PRABODHI/60/GM/PLPCH/CURRY CHICKEN FLAVOUR ,PRABODHI,PRABODHI FOOD PRODUCTS,PLPCH ,60GM ,,PRABODHI,PRABODHI FOOD PRODUCTS,PLPCH,60GM,| Target Itemdesc not found,PRABODHI CHICKEN FLAVOUR 60 GM,0.9331358443607063
PARACHUTE NATURAL/180/ML/PBT/HAIRFALL CONTROL SHAMPOO COCONUT & GOTUKOLA.,PARACHUTE NATURAL,A.BAUR & CO.PVT LTD,PBT,180ML,,,A.BAUR & CO. (PVT) LTD,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
PARACHUTE NATURAL/180/ML/PBT/NOURISHING CARE SHAMPOO COCONUT & MUKUNUWENNA,PARACHUTE NATURAL,A.BAUR & CO.PVT LTD,PBT,180ML,,,A.BAUR & CO. (PVT) LTD,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
VASELINE/200/ML/HEALTHY BRIGHT IN 2 WEEKS SERUM IN LOTION SAVE RS 265,VASELINE,UNILEVER SRI LANKA LTD,PBT,200ML,VASELINE (USL) HEALTHY BRIGHT IN 2 WEEKS NIACINAMIDE-VITAMIN B3 SERUM IN BODY LOTION 200 ML PLBOT,VASELINE,UNILEVER SRI LANKA LTD,PLBOT,200.00 ML,,EMF,0.9637128615305084
PARACHUTE NATURAL/180/ML/PBT/HAIRFALL CONTROL SHAMPOO COCONUT & GOTUKOLA,PARACHUTE NATURAL,HARUMI HOLDINGS (PVT) LTD,PBT,180ML,,,HARUMI HOLDINGS (PVT) LTD,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
MAGGI/75/GM/PLPCH/PAPARE BLAST,MAGGI,NESTLE LANKA,PLPCH ,75GM,,MAGGI,NESTLE LANKA,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
SUN RICH/315/G/PLPCH/MILK CRUNCH,SUN RICH MILK CRUNCH,SUNRICH CONFECTIONERY (PVT) LTD,PLPCH,315G,,SUN RICH MILK CRUNCH,SUNRICH CONFECTIONERY (PVT) LTD,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
CHUPA CHUPS\14\GM\PLPCH\PAPER STICK COLA FLAVOUR BUBBLE GUM FILLED LOLLIPOP,CHUPA CHUPS,PERFETTI VAN MELLE LANKA (PVT) LTD,PLPCH,14GM,,CHUPA CHUPS,PERFETTI VAN MELLE LANKA (PVT) LTD,,,| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
DASH\100\ML\PBT\MAGIC SOFT FLORAL FRESH AFTER WASH FABRIC CONDITIONER,DASH,MULTICHEMI INTERNATIONAL LTD,PBT,100ML,,DASH,MULTICHEMI INTERNATIONAL LTD,PLBOT,,| Target Packsize or UOM not found| Target Itemdesc not found,,
DASH\100\ML\PBT\MAGIC SOFT AQUA FRESH AFTER WASH FABRIC CONDITIONER,DASH,MULTICHEMI INTERNATIONAL LTD,PBT,100ML,,DASH,MULTICHEMI INTERNATIONAL LTD,PLBOT,,| Target Packsize or UOM not found| Target Itemdesc not found,,
LIFEBUOY HEALTH SHAMPOO HERBAL SHAMPOO WITH HERBAL EXTRACTS/175ML/PLBOT + SAVE RS.50,LIFEBUOY,UNILEVER SRI LANKA LTD,PLBOT,175ML,LIFEBUOY STRONG & THICK HEALTH SHAMPOO WITH MILK PROTEIN & ALMOND OIL 175 ML PLBOT + SAVE RS 80,LIFEBUOY,UNILEVER SRI LANKA LTD,PLBOT,175.00 ML,,EMF,0.9614180095277478
CHANDANALEPA KOHOMBA AYURVEDA SOAP/75GM/CDBOX,CHANDANALEPA,SANJEEWAKA AYURVEDIC PRODUCTS,CDBOX,75GM,,CHANDANALEPA,SANJEEWAKA AYURVEDIC PRODUCTS,CDBOX,75GM,| Target Itemdesc not found,CHANDANALEPA AYURVEDA SOAP 75 GM CDBOX,0.9353875822258431
CHANDANALEPA VENIVEL AYURVEDA SOAP/75GM/CDBOX,CHANDANALEPA,SANJEEWAKA AYURVEDIC PRODUCTS,CDBOX,75GM,,CHANDANALEPA,SANJEEWAKA AYURVEDIC PRODUCTS,CDBOX,75GM,| Target Itemdesc not found,CHANDANALEPA AYURVEDA SOAP 75 GM CDBOX,0.9373796628804127
ELEPANT HOUSES VEGAN FROZEN DESSERT PASSION FEELGOOD RANGE 320ML ,ELEPHANT HOUSE ,CEYLON COLD STORES,CUP,320ML,,ELEPHANT HOUSE,CEYLON COLD STORES,PLBOT,,| Target Packsize or UOM not found| Target Itemdesc not found,,
